77f29d7,mathmartins-sb,2024-11,feat: add statusId prop to GroupOfferCheckbox for conditional rendering of publish action
70c9072,mathmartins-sb,2024-11,feat: enhance AditionalInfoTab with execution type handling and internal parameter updates
a4199a2,Odailson Silva,2024-11,Merge branch 'develop' into TST-2105
10b9768,Odailson Silva,2024-11,TST-2883: fix - editValues
94d117d,mathmartins-sb,2024-11,feat: localize mass action labels in GroupOfferCheckbox component
352c8ca,mathmartins-sb,2024-11,feat: enhance GroupOfferCheckbox with mass action functionality and improve styling consistency
f492fe4,Odailson Silva,2024-11,TST-2501: remove logs
5f3ec9e,Odailson Silva,2024-11,TST-2501: translations
5fbfdaf,Odailson Silva,2024-11,TST-2501: refact - offer fixed
da2c969,Odailson Silva,2024-11,TST-2501: refact - offer fixed
07c778b,Odailson Silva,2024-11,TST-2501: feat - edit offer integration with api
159d4eb,Odailson Silva,2024-11,TST-2500: feat - add new container with information about quantity and value edit offer
7cb83da,Victor Grechi,2024-11,PO-2106: removing console log.
cfec1af,Victor Grechi,2024-11,PO-2106: fixing validation on question room end date.
f69cd36,mathmartins-sb,2024-11,feat: include BUY_NOW offer type in value decision logic
9ef1d94,mathmartins-sb,2024-11,fix: update visibility logic for fields based on user roles
c3dc43c,Victor Grechi,2024-11,PO-2364: fixing invalid question room end date.
78e5cb8,rosarioconde,2024-11,feat: add translations for lot status and offer type
412c6f4,rosarioconde,2024-11,feat: add currency formatting and prod ref in Lot List section
53a6e8e,Martín Agüera,2024-11,feat: add value "Simultâneo" default for LATAM countries in AditionalInfoTab component
f2fc5e3,Martín Agüera,2024-11,feat: hidden ExtraTimeEvent component for LATAM countries in FeatureTab component
724af42,Victor Grechi,2024-11,PO-2106: setting contacts as required when question room is enabled.
84a6929,Victor Grechi,2024-11,feat: event question room config.
b0d8a85,Walisson Rodrigo,2024-11,PLAT-3355 - fix default values on get initial data from payload
8b321ae,Walisson Rodrigo,2024-11,PLAT-3330 - refactor: update auctioneer logic and state management in FeatureTab component
