ef306c2a,Victor Grechi,2024-11,PO-2127: integrating with backend service.
f301e17f,Victor Grechi,2024-11,PO-2127: implementing mocked question and notices list.
5f3ac506,Carlos Henrique,2024-11,REEN(456): Adicionado os serviços para os usuários habilitados
c0de56f5,mathmartins-sb,2024-11,fix(i18n): correct Portuguese translation for offers by group
29b3a18f,mathmartins-sb,2024-11,fix(i18n): correct Portuguese translations for group visibility and offers
e6e167eb,mathmartins-sb,2024-11,feat(i18n): add mass action messages for group offers in multiple locales
ffc9c96f,Odailson Silva,2024-11,TST-2133 - feat: add new informations about quantity in track-offers
d458cfc6,mathmartins-sb,2024-11,fix(i18n): update withdrawal restriction message to Spanish across multiple locales
77a725f3,mathmartins-sb,2024-11,feat(i18n): add legal withdrawal restriction message for shopping events in multiple locales
aeeae810,mathmartins-sb,2024-11,feat(i18n): add new message for shopping event withdrawal restriction
bdf8a602,Victor Grechi,2024-11,PO-2120: implementing question room page.
07e7d9e3,Carlos Henrique,2024-11,REEN: adicionado nova aba de habilitações
250234c9,larissa alves da silva,2024-11,fix: verify event-documents permission
50445114,Carlos Henrique,2024-11,REEN: adicionado serviços na tela de offertas/v2
8f056bda,Carlos Henrique,2024-11,Hotfix trying to fix v2 routes
11aded09,Carlos Henrique,2024-11,Hotfix v2 routes to stg
d8cef592,Carlos Henrique,2024-11,Hotfix v2 routes
7729f3e0,Carlos Henrique,2024-11,REEN-419: Adicionado funcionalidades nas telas de eventos v2
8a1fcec2,larissa alves da silva,2024-11,fix(BidModal): add bid on installment type and quantity items column
f6d4e04a,Victor Grechi,2024-11,feat: adding event condition to question room access button.
98390678,Joshua Maia Rodrigues,2024-10,add botton count questions room
db195477,Joshua Maia Rodrigues,2024-10,add button PublishedEventWuestionsRoomButton
e101609b,mathmartins-sb,2024-10,Refactor DateUtils to fix time zone formatting issue
1486306b,mathmartins-sb,2024-10,Update package.json to include date-fns-tz library
7eef70fd,Carlos Henrique,2024-10,Merge branch 'develop' of codecommit://sb-event-platform into REEN-383
4db84fd1,Carlos Henrique,2024-10,Feat: adicionada novas rotas v2
97dc134e,Walisson Rodrigo,2024-10,PLAT-3045 - add new field on csv example. fix uftf8 error on generate csv and open on excel
de25ce84,Carlos Henrique,2024-10,Feat: new route published auction
51ead784,mathmartins-sb,2024-10,Add support for raffle event modality in OfferSummary component
140c76ed,Carlos Henrique,2024-10,Feat: new archtecture to terminal
9dc48e72,brendaguinarte,2024-10,tst-2826
307903a5,brendaguinarte,2024-10,tst-2826
ece5c01c,Odailson Silva,2024-10,Merge branch 'develop' into TST-2521
65fe0eba,Odailson Silva,2024-10,TST-2521: feat - translations ModalOfferGroup
dbe8363f,mathmartins-sb,2024-10,Refactor event status badge margin and fix package.json
5353142c,mathmartins-sb,2024-10,Refactor event status badge margin
a4ce02ad,Odailson Silva,2024-10,revert
1925f179,Odailson Silva,2024-10,conflicts
b71978f6,Walisson Rodrigo,2024-10,PLAT-2546 - add version and fix package.json
22218bef,Walisson Rodrigo,2024-10,PLAT-2546 - add translations for error on CardOffer on cancel offer
b4841861,larissa alves da silva,2024-09,fix: adjust double download
a21bd8b1,larissa alves da silva,2024-09,fix: hidding select when is empty state
b6535acb,larissa alves da silva,2024-09,fix: adjust on downloadFile import
310d7cda,larissa alves da silva,2024-09,fix: adjust on intervalId
5d824477,larissa alves da silva,2024-09,feat: adding NPR download modal
943ac623,Martín Agüera,2024-09,feat: create timeWithTzFixed util
a54a6c28,Martín Agüera,2024-09,feat: add timeWithTzFixed to Card and OffersSummary components
9cff555d,brendaguinarte,2024-09,remove-history
bc2e2093,brendaguinarte,2024-09,label-adjustment
2e2cff0d,larissa alves da silva,2024-09,feat: add render snackbar validation
4b7538c0,larissa alves da silva,2024-09,feat: add NPR option on menu offers
4b41ccbf,Pedro Hotz Bronzato,2024-09,fix:package-json
1caf4e8b,Pedro Hotz Bronzato,2024-09,fix:modal
46744d9b,Pedro Hotz Bronzato,2024-09,fix:documents-modal-link
f9c15352,Carlos Henrique,2024-08,Feat: remove feature toogle to negotiation microfront
e27c2dde,larissa alves da silva,2024-08,fix: some adjustment in catalog modal
62171708,larissa alves da silva,2024-08,feat: fullscreen catalog modal
e887edd0,Leonardo Telles,2024-08,Merge branch 'stg' into terminal/merge_stg_into_develop
5076f593,Leonardo Telles,2024-08,Merge branch 'master' into terminal/merge_master_into_stg
82411734,Carlos Henrique,2024-08,Squashed commit of the following
aeb5c0fd,Carlos Henrique,2024-08,hotfix: added validation to offer selected
3c53db53,Martín Agüera,2024-07,refacor: add the condition in encodedFilters to send an array for many reference codes or a string for one reference code
ecc39de2,larissa alves da silva,2024-07,feat: add translation for a new column in bidding ranking table
87780cc5,Leonardo Telles,2024-07,Merge branch 'master' into terminal/merge_master_into_stg
1e8d6840,Andre Pasqualotto,2024-07,removing log and unused import
facdd222,Andre Pasqualotto,2024-07,cherrypick conflicts
6c8c89d6,Andre Pasqualotto,2024-07,Adding otherHeaders and properties to interests and winners, latam translations and general refactor of some loading and error states
c2774624,Andre Pasqualotto,2024-07,rebasing conflicts
ea4e88ef,Andre Pasqualotto,2024-06,changing placeholders and minor fixes
d46d8ed7,Andre Pasqualotto,2024-06,fixing participants query results with no users
25a2d07f,Andre Pasqualotto,2024-06,adding translations to spanish
cbd234c5,Andre Pasqualotto,2024-06,adjusting some loading states and components
0aacc663,Andre Pasqualotto,2024-06,adding button to action menu to download buying-terms and fixing loading states across components
e5531f9e,Martín Agüera,2024-07,fix: change text in FilterChildren.clear_filters key of "Filtros claros" to "Limpiar filtros"
f800b503,larissa alves da silva,2024-07,fix: passing the selected event object to catalog microfront
50b4f4c2,mathmartins-sb,2024-05,feat: Add new key/values for errors from back
61954f71,larissa alves da silva,2024-07,feat: add catalog FF
81f02245,larissa alves da silva,2024-07,fix: some adjustment
68e8ae51,larissa alves da silva,2024-07,feat: some adjustment
ca62d1bb,larissa alves da silva,2024-07,feat: add catalog btn and modal
bf9a36f9,mathmartins-sb,2024-07,refactor: Update API URLs for pre environment
4f242eed,mathmartins-sb,2024-07,refactor: Add isTypeExtraJudicialWithPostEvent flag to OfferSummary component
6dd0b59d,Andre Pasqualotto,2024-07,removing log and unused import
dec72b06,Andre Pasqualotto,2024-07,fixing conflict error
8d139ced,Andre Pasqualotto,2024-07,Adding otherHeaders and properties to interests and winners, latam translations and general refactor of some loading and error states
bdeed247,Andre Pasqualotto,2024-07,rebasing conflicts
3a20e050,Andre Pasqualotto,2024-06,changing placeholders and minor fixes
4a6ea037,Andre Pasqualotto,2024-06,fixing participants query results with no users
53f40e84,Andre Pasqualotto,2024-06,adding translations to spanish
36b2eaa9,Andre Pasqualotto,2024-06,adjusting some loading states and components
75031805,Andre Pasqualotto,2024-06,adding button to action menu to download buying-terms and fixing loading states across components
f7cae9b0,mathmartins-sb,2024-06,feat: Update OfferSummary component to use isAfterMarket flag
965f5c43,mathmartins-sb,2024-06,feat: Add isAfterMarket flag to OfferSummary and Stages components
2ca22073,Carlos Henrique,2024-06,Bugfix: Fix winner row on modal of bids
b12e534a,mathmartins-sb,2024-06,refactor: update useGenerateOffers hook to accept additional filters
05a68a85,Carlos Henrique,2024-06,Removing uncessesary comments
1a1d02dd,Carlos Henrique,2024-06,Bugfix: adjusted negotiation history date on drawer
925a82f7,Carlos Henrique,2024-06,Bugfix: fix bid modal empty
90dfe285,Philipe Schneider,2024-06,Merge branch 'stg' into equalizeBranchDevWithStg
459e611c,Philipe Schneider,2024-06,Merge branch 'master' into equalizeBranchMaster
8c24af97,Carlos Henrique,2024-06,feat: migrate negotiation tab to new microfront
4a66303e,Carlos Henrique,2024-06,Hotfix: added parameter to bid history request
d4ddbd7a,Andre Pasqualotto,2024-06,adding methods to check for endDate in event tabs
752b4748,Andre Pasqualotto,2024-06,fixing overflow and height when too much data in component
a83bd86c,Andre Pasqualotto,2024-06,fix not showing hours in event summary
9bd9e9d5,Martín Agüera,2024-06,fix: change see_details to view_details in proponentCard key of translations
245422d8,Ailson Ramos Moreira,2024-06,Merge branch 'arm-tst-1991' of codecommit://sb-event-platform into arm-tst-1991
74244278,Ailson Ramos Moreira,2024-06,change get note label to enum
09884a44,Ailson Ramos Moreira,2024-06,Merge branch 'arm-tst-1991' of codecommit://sb-event-platform into arm-tst-1991
b9f29d30,Ailson Ramos Moreira,2024-06,new label view note
3e55811b,Ailson Ramos Moreira,2024-06,new label view note
086e1e1d,Martín Agüera,2024-06,feat: add translations to menuActions of ProponentCard component
5b24bd8e,Martín Agüera,2024-06,feat: add translation to español en refusedProponentCard key
aba75a96,Carlos Henrique,2024-05,bugfix/PO-1833: adjusment on formated dates
d4433e5e,Andre Pasqualotto,2024-05,adding permission to edit/delete events buttons
3536e01a,Andre Pasqualotto,2024-05,adding event closed validation, removing inline styles and minor adjustments
771faa7e,Carlos Henrique,2024-05,Bugfix: Added error event not finished
40a21400,Andre Pasqualotto,2024-05,adding translations to interests modal
23ca578a,Carlos Henrique,2024-05,Hotfix: added element to login tag to not translate
fd47e99d,Carlos Henrique,2024-04,Bugfix(PO-1762): fix bug when negotiation offers
f6420469,Odailson Silva,2024-04,Merge branch 'develop' into MACC-1607
142f5d9c,Odailson Silva,2024-04,MACC-1607: feat: tabEnable to offers
a65acaea,Philipe Schneider,2024-04,REEN-14 - Add new key/values for errors from back
206f5ba5,Philipe Schneider,2024-04,REEN-14 - Add new key/values for errors from back
